no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence
4,128,0.0,8,0.0,656.1,656.1,0.08571428571428572,8.333333333333334,0.7311508120784059,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.1,8,0.0,0.1,0.1,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.11428571428571428,0.11428571428571428,1.0,0
4,128,0.1,8,0.0,0.1,0.30000000000000004,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,0.1,0.9000000000000001,1.0,0.0,0.12974069471942834,0.11764705882352941,4,0,4,0.17142857142857143,0.17142857142857143,1.0,0
4,128,0.1,8,0.0,0.1,2.7,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.1,8.100000000000001,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,0.1,24.300000000000004,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.1,72.9,1.0,0.0,0.12974069471942834,0.08823529411764706,3,1,2,0.11428571428571428,0.11428571428571428,1.0,0
4,128,0.1,8,0.0,0.1,218.70000000000002,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.1,656.1,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.11428571428571428,0.11428571428571428,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,0.1,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,0.30000000000000004,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,0.9000000000000001,1.0,0.0,0.12974069471942834,0.029411764705882353,1,0,1,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,2.7,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,8.100000000000001,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,24.300000000000004,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,72.9,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,218.70000000000002,1.0,0.0,0.12974069471942834,0.14705882352941177,5,0,5,0.17142857142857143,0.17142857142857143,1.0,0
4,128,0.1,8,0.0,0.30000000000000004,656.1,1.0,0.0,0.12974069471942834,0.029411764705882353,1,0,1,0.02857142857142857,0.02857142857142857,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,0.1,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,0.30000000000000004,1.0,0.0,0.12974069471942834,0.14705882352941177,5,0,5,0.17142857142857143,0.17142857142857143,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,0.9000000000000001,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,2.7,1.0,0.0,0.12974069471942834,0.058823529411764705,2,1,1,0.11428571428571428,0.11428571428571428,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,8.100000000000001,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,24.300000000000004,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.14285714285714285,0.14285714285714285,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,72.9,1.0,0.0,0.12974069471942834,0.029411764705882353,1,0,1,0.05714285714285714,0.05714285714285714,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,218.70000000000002,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,0.9000000000000001,656.1,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.1,8,0.0,2.7,0.1,0.9428571428571428,0.06060606060606061,0.5062608421468742,0.11764705882352941,4,0,4,0.11428571428571428,0.11428571428571428,1.0,0
4,128,0.1,8,0.0,2.7,0.30000000000000004,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.11428571428571428,0.11428571428571428,1.0,0
4,128,0.1,8,0.0,2.7,0.9000000000000001,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.11764705882352941,4,0,4,0.14285714285714285,0.14285714285714285,1.0,0
4,128,0.1,8,0.0,2.7,2.7,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.1,8,0.0,2.7,8.100000000000001,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.029411764705882353,1,1,0,0.05714285714285714,0.05714285714285714,1.0,1
4,128,0.1,8,0.0,2.7,24.300000000000004,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.029411764705882353,1,0,1,0.02857142857142857,0.02857142857142857,1.0,0
4,128,0.1,8,0.0,2.7,72.9,1.0,0.0,0.12974069471942834,0.029411764705882353,1,0,1,0.02857142857142857,0.02857142857142857,1.0,0
4,128,0.1,8,0.0,2.7,218.70000000000002,0.9428571428571428,0.06060606060606061,0.5062608421468742,0.08823529411764706,3,1,2,0.08571428571428572,0.08571428571428572,1.0,1
4,128,0.1,8,0.0,2.7,656.1,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.08823529411764706,3,0,3,0.11428571428571428,0.11428571428571428,1.0,0
4,128,0.1,8,0.0,8.100000000000001,0.1,0.5428571428571428,0.7368421052631579,1.2712812555945137,0.14705882352941177,5,3,2,0.14285714285714285,0.08571428571428572,0.6,4
4,128,0.1,8,0.0,8.100000000000001,0.30000000000000004,0.6285714285714286,0.5909090909090909,1.1811002954487944,0.11764705882352941,4,3,1,0.11428571428571428,0.08571428571428572,0.75,4
4,128,0.1,8,0.0,8.100000000000001,0.9000000000000001,0.6285714285714286,0.5909090909090909,1.0717287302022056,0.08823529411764706,3,2,1,0.17142857142857143,0.14285714285714285,0.8333333333333334,2
4,128,0.1,8,0.0,8.100000000000001,2.7,0.5428571428571428,0.6842105263157895,1.0717287302022056,0.08823529411764706,3,1,2,0.08571428571428572,0.05714285714285714,0.6666666666666666,2
4,128,0.1,8,0.0,8.100000000000001,8.100000000000001,0.4857142857142857,0.9411764705882353,1.306685038582717,0.08823529411764706,3,2,1,0.08571428571428572,0.05714285714285714,0.6666666666666666,1
4,128,0.1,8,0.0,8.100000000000001,24.300000000000004,0.6,0.6666666666666666,1.2602868211464953,0.08823529411764706,3,1,2,0.08571428571428572,0.05714285714285714,0.6666666666666666,2
4,128,0.1,8,0.0,8.100000000000001,72.9,0.6285714285714286,0.5,1.185683986047072,0.11764705882352941,4,1,3,0.11428571428571428,0.02857142857142857,0.25,4
4,128,0.1,8,0.0,8.100000000000001,218.70000000000002,0.5714285714285714,0.7,1.221964328888494,0.08823529411764706,3,3,0,0.08571428571428572,0.08571428571428572,1.0,3
4,128,0.1,8,0.0,8.100000000000001,656.1,0.6571428571428571,0.391304347826087,1.1321523808527474,0.14705882352941177,5,3,2,0.17142857142857143,0.14285714285714285,0.8333333333333334,3
4,128,0.1,8,0.0,24.300000000000004,0.1,0.37142857142857144,1.6153846153846154,1.2091038007951975,0.058823529411764705,2,2,0,0.05714285714285714,0.02857142857142857,0.5,2
4,128,0.1,8,0.0,24.300000000000004,0.30000000000000004,0.3142857142857143,2.090909090909091,1.163119150697565,0.08823529411764706,3,3,0,0.11428571428571428,0.05714285714285714,0.5,3
4,128,0.1,8,0.0,24.300000000000004,0.9000000000000001,0.34285714285714286,1.8333333333333333,1.1727717207607475,0.058823529411764705,2,1,1,0.08571428571428572,0.02857142857142857,0.3333333333333333,2
4,128,0.1,8,0.0,24.300000000000004,2.7,0.3142857142857143,1.9090909090909092,1.1714731467358281,0.058823529411764705,2,2,0,0.08571428571428572,0.02857142857142857,0.3333333333333333,2
4,128,0.1,8,0.0,24.300000000000004,8.100000000000001,0.34285714285714286,1.5,1.2571056533942897,0.029411764705882353,1,0,1,0.05714285714285714,0.0,0.0,1
4,128,0.1,8,0.0,24.300000000000004,24.300000000000004,0.34285714285714286,1.4166666666666667,1.2122558125001857,0.058823529411764705,2,2,0,0.11428571428571428,0.08571428571428572,0.75,2
