no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence,total_malicious_blocks_final,total_final_blocks,total_blocks
4,128,0.0,9,0.0,2.3298085122481007,0.1,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,2.3298085122481007,0.5,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.0,0,0,0,0.0,0.0,0.0,0,0,34,35
4,128,0.0,9,0.0,2.3298085122481007,2.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,2.3298085122481007,12.5,0.9428571428571428,0.06060606060606061,0.5062608421468742,0.0,0,0,0,0.0,0.0,0.0,0,0,33,35
4,128,0.0,9,0.0,2.3298085122481007,62.5,0.9428571428571428,0.06060606060606061,0.5062608421468742,0.0,0,0,0,0.0,0.0,0.0,0,0,33,35
4,128,0.0,9,0.0,3.028751065922531,0.1,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.0,0,0,0,0.0,0.0,0.0,0,0,34,35
4,128,0.0,9,0.0,3.028751065922531,0.5,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.0,0,0,0,0.0,0.0,0.0,0,0,34,35
4,128,0.0,9,0.0,3.028751065922531,2.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,3.028751065922531,12.5,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.0,0,0,0,0.0,0.0,0.0,0,0,34,35
4,128,0.0,9,0.0,3.028751065922531,62.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,3.9373763856992907,0.1,0.8857142857142857,0.12903225806451613,0.7466944330548823,0.0,0,0,0,0.0,0.0,0.0,0,0,31,35
4,128,0.0,9,0.0,3.9373763856992907,0.5,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.0,0,0,0,0.0,0.0,0.0,0,0,34,35
4,128,0.0,9,0.0,3.9373763856992907,2.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,3.9373763856992907,12.5,0.8857142857142857,0.12903225806451613,0.7466944330548823,0.0,0,0,0,0.0,0.0,0.0,0,0,31,35
4,128,0.0,9,0.0,3.9373763856992907,62.5,0.9142857142857143,0.09375,0.6369840444782822,0.0,0,0,0,0.0,0.0,0.0,0,0,32,35
4,128,0.0,9,0.0,5.118589301409078,0.1,0.9428571428571428,0.06060606060606061,0.5062608421468742,0.0,0,0,0,0.0,0.0,0.0,0,0,33,35
4,128,0.0,9,0.0,5.118589301409078,0.5,0.8571428571428571,0.16666666666666666,0.8390326813211415,0.0,0,0,0,0.0,0.0,0.0,0,0,30,35
4,128,0.0,9,0.0,5.118589301409078,2.5,0.8285714285714286,0.20689655172413793,0.9160662948426003,0.0,0,0,0,0.0,0.0,0.0,0,0,29,35
4,128,0.0,9,0.0,5.118589301409078,12.5,0.8,0.25,0.9790180944063938,0.0,0,0,0,0.0,0.0,0.0,0,0,28,35
4,128,0.0,9,0.0,5.118589301409078,62.5,0.8,0.21428571428571427,0.9160662948426003,0.0,0,0,0,0.0,0.0,0.0,0,0,28,35
4,128,0.0,9,0.0,6.654166091831802,0.1,0.7142857142857143,0.4,1.1658299657535875,0.0,0,0,0,0.0,0.0,0.0,0,0,25,35
4,128,0.0,9,0.0,6.654166091831802,0.5,0.6857142857142857,0.4583333333333333,1.0977878444695828,0.0,0,0,0,0.0,0.0,0.0,0,0,24,35
4,128,0.0,9,0.0,6.654166091831802,2.5,0.6857142857142857,0.4583333333333333,1.0977878444695828,0.0,0,0,0,0.0,0.0,0.0,0,0,24,35
4,128,0.0,9,0.0,6.654166091831802,12.5,0.6857142857142857,0.375,1.0649968705807584,0.0,0,0,0,0.0,0.0,0.0,0,0,24,35
4,128,0.0,9,0.0,6.654166091831802,62.5,0.6857142857142857,0.4583333333333333,1.0977878444695828,0.0,0,0,0,0.0,0.0,0.0,0,0,24,35
4,128,0.0,9,0.0,8.650415919381343,0.1,0.6285714285714286,0.5909090909090909,1.1811002954487944,0.0,0,0,0,0.0,0.0,0.0,0,0,22,35
4,128,0.0,9,0.0,8.650415919381343,0.5,0.6,0.6666666666666666,1.1536050941358038,0.0,0,0,0,0.0,0.0,0.0,0,0,21,35
4,128,0.0,9,0.0,8.650415919381343,2.5,0.5428571428571428,0.7368421052631579,1.1536050941358038,0.0,0,0,0,0.0,0.0,0.0,0,0,19,35
4,128,0.0,9,0.0,8.650415919381343,12.5,0.5714285714285714,0.7,1.1536050941358038,0.0,0,0,0,0.0,0.0,0.0,0,0,20,35
4,128,0.0,9,0.0,8.650415919381343,62.5,0.6,0.6666666666666666,1.2602868211464953,0.0,0,0,0,0.0,0.0,0.0,0,0,21,35
4,128,0.0,9,0.0,11.245540695195746,0.1,0.5428571428571428,0.8421052631578947,1.2529553680642223,0.0,0,0,0,0.0,0.0,0.0,0,0,19,35
4,128,0.0,9,0.0,11.245540695195746,0.5,0.4857142857142857,1.0588235294117647,1.1010148232122057,0.0,0,0,0,0.0,0.0,0.0,0,0,17,35
4,128,0.0,9,0.0,11.245540695195746,2.5,0.5428571428571428,0.7368421052631579,1.2602868211464953,0.0,0,0,0,0.0,0.0,0.0,0,0,19,35
4,128,0.0,9,0.0,11.245540695195746,12.5,0.45714285714285713,0.9375,1.1874875262577909,0.0,0,0,0,0.0,0.0,0.0,0,0,16,35
4,128,0.0,9,0.0,11.245540695195746,62.5,0.45714285714285713,0.9375,1.2976686733798775,0.0,0,0,0,0.0,0.0,0.0,0,0,16,35
4,128,0.0,9,0.0,14.61920290375447,0.1,0.45714285714285713,1.0625,1.2961199838509228,0.0,0,0,0,0.0,0.0,0.0,0,0,16,35
4,128,0.0,9,0.0,14.61920290375447,0.5,0.37142857142857144,1.5384615384615385,1.2162145942786888,0.0,0,0,0,0.0,0.0,0.0,0,0,13,35
4,128,0.0,9,0.0,14.61920290375447,2.5,0.5142857142857142,0.7777777777777778,1.2647539069584108,0.0,0,0,0,0.0,0.0,0.0,0,0,18,35
4,128,0.0,9,0.0,14.61920290375447,12.5,0.42857142857142855,1.2,1.1841871563643112,0.0,0,0,0,0.0,0.0,0.0,0,0,15,35
